Field,Name,Abbr,Abbr3
STATE,A&N ISLANDS,AN,A&N
STATE,AJMER,AJ,AJM
STATE,ANDHRA PRADESH,AP,AP
STATE,ARUNACHAL PRADESH,AR,ARU
STATE,ASSAM,AS,ASM
STATE,BHOPAL,BH,BHO
STATE,BIHAR,BR,BIH
STATE,BILASPUR,BL,BIL
STATE,BOMBAY,BY,BBY
STATE,CHANDIGARH,CH,CHD
STATE,CHHATTISGARH,CG,CHG
STATE,COORG,CO,CRG
STATE,D&N HAVELI,DN,D&N
STATE,DAMAN & DIU,DD,D&D
STATE,GOA,GA,GOA
STATE,"GOA, DAMAN & DIU",GA,GOA
STATE,GUJARAT,GJ,GUJ
STATE,HARYANA,HR,HAR
STATE,HIMACHAL PRADESH,HP,HP
STATE,HYDERABAD,HY,HYD
STATE,JAMMU & KASHMIR,JK,J&K
STATE,JHARKHAND,JH,JHA
STATE,KARNATAKA,KA,KAR
STATE,KERALA,KL,KER
STATE,KUTCH,KU,KUT
STATE,LAKSHADWEEP,LD,LAK
STATE,MADHYA BHARAT,MB,MB
STATE,MADHYA PRADESH,MP,MP
STATE,MADRAS,MA,MAD
STATE,MAHARASHTRA,MH,MAH
STATE,MANIPUR,MN,MAN
STATE,MEGHALAYA,ML,MEG
STATE,MIZORAM,MZ,MIZ
STATE,MYSORE,MY,MYS
STATE,NAGALAND,NL,NAG
STATE,NCT OF DELHI,DL,NCT
STATE,ORISSA,OD,ODI
STATE,PATIALA AND EAST PUNJAB STATES UNION,PT,PAT
STATE,PUDUCHERRY,PY,PUD
STATE,PUNJAB,PB,PUN
STATE,RAJASTHAN,RJ,RAJ
STATE,SAURASHTRA,SA,SAU
STATE,SIKKIM,SK,SIK
STATE,TAMIL NADU,TN,TN
STATE,TRAVANCORE COCHIN,TV,TRV
STATE,TRIPURA,TR,TRI
STATE,UTTAR PRADESH,UP,UP
STATE,UTTARAKHAND,UK,UTK
STATE,VINDHYA PRADESH,VP,VIP
STATE,WEST BENGAL,WB,WB
STATE,ALL INDIA,IN,IND
