ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S01,1,ANDHRA PRADESH,ADILABAD,1,GODAM NAGESH,Telangana Rashtra Samithi
S01,1,ANDHRA PRADESH,ADILABAD,2,NARESH,Indian National Congress
S01,1,ANDHRA PRADESH,ADILABAD,3,RAMESH RATHOD,Telugu Desam
S01,1,ANDHRA PRADESH,ADILABAD,4,RATHOD SADASHIV,Bahujan Samaj Party
S01,1,ANDHRA PRADESH,ADILABAD,5,NETHAWATH RAMDAS,Independent
S01,1,ANDHRA PRADESH,ADILABAD,6,PAWAR KRISHNA,Independent
S01,1,ANDHRA PRADESH,ADILABAD,7,BANKA SAHADEV,Independent
S01,1,ANDHRA PRADESH,ADILABAD,8,MOSALI CHINNAIAH,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,1,DR.JANAPATI SARAT BABU,Telugu Desam
S01,2,ANDHRA PRADESH,PEDDAPALLI,2,TAGARAM SHANKAR LAL,Bahujan Samaj Party
S01,2,ANDHRA PRADESH,PEDDAPALLI,3,BALKA SUMAN,Telangana Rashtra Samithi
S01,2,ANDHRA PRADESH,PEDDAPALLI,4,G. VIVEKANAND,Indian National Congress
S01,2,ANDHRA PRADESH,PEDDAPALLI,5,KALVALA SHANKAR,Pyramid Party of India
S01,2,ANDHRA PRADESH,PEDDAPALLI,6,KALVALA SANJEEV,Republican Party of India
S01,2,ANDHRA PRADESH,PEDDAPALLI,7,BOTHA VENKATA MALLAIAH,B. C. United Front
S01,2,ANDHRA PRADESH,PEDDAPALLI,8,J.V. RAJU,New India Party
S01,2,ANDHRA PRADESH,PEDDAPALLI,9,VENKATA SWAMY INJAM,Mahajana Socialist Party
S01,2,ANDHRA PRADESH,PEDDAPALLI,10,VELTHURU MALLAIAH,Republican Paksha (Khoripa)
S01,2,ANDHRA PRADESH,PEDDAPALLI,11,KAMILLA JAYA RAO,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,12,GADDALA VINAY KUMAR,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,13,GORRE RAMESH,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,14,JINNA RAMADEVI,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,15,THALLAPALLI SRINIVAS,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,16,BUPELLI NARAYANA,Independent
S01,2,ANDHRA PRADESH,PEDDAPALLI,17,MOUTAM RAVINDER,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,1,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,2,PONNAM PRABHAKAR,Indian National Congress
S01,3,ANDHRA PRADESH,KARIMNAGAR,3,BURLA RAVI,Nationalist Congress Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,4,BYAGARI LAXMAN,Bahujan Samaj Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,5,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi
S01,3,ANDHRA PRADESH,KARIMNAGAR,6,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,7,LENKALA PRABHAKAR REDDY,Pyramid Party of India
S01,3,ANDHRA PRADESH,KARIMNAGAR,8,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,9,RANAVENI LAKSHMAN,New India Party
S01,3,ANDHRA PRADESH,KARIMNAGAR,10,REDDI MALLA SRINIVAS,Republican Party of India (A)
S01,3,ANDHRA PRADESH,KARIMNAGAR,11,SHAIK MAHMOOD,Welfare Party Of India
S01,3,ANDHRA PRADESH,KARIMNAGAR,12,UPPULETI LAXMAN,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,13,KANDEM PRABHAKAR,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,14,PULIKOTA RAMESH,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,15,MALLESH YADAV BARLA,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,16,MOHAMMED AMJAD MOHIUDDIN,Independent
S01,3,ANDHRA PRADESH,KARIMNAGAR,17,SRINIVAS REDDY LINGAMPALLY,Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,1,ENDALA LAKSHMINARAYANA,Bharatiya Janata Party
S01,4,ANDHRA PRADESH,NIZAMABAD,2,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi
