Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
1,148,Kaushal Yadav,NAWADA,JD(U),8,Post Graduate,154566136,2604969,151961167
2,6912,(Kuppal)G.Devadoss,CHENNAI SOUTH,IND,0,8th Pass,3630000,850000,2780000
3,1906,A Biju,ALATHUR,IND,0,8th Pass,564425,175000,389425
4,8,A N Radhakrishnan,ERNAKULAM,BJP,0,Graduate,7813475,0,7813475
5,4337,A Nelson,SIVAGANGA,IND,0,12th Pass,37322,0,37322
6,4536,A P Jithender Reddy,MAHBUBNAGAR,TRS,4,Graduate,140831576,1386969,139444607
7,901,A Pandian,ANDAMAN & NICOBAR ISLANDS,AIFB,0,12th Pass,859410,350000,509410
8,1105,A Prasad,KOLAR,IND,0,10th Pass,840000,0,840000
9,340,A Sampath,ATTINGAL,CPI(M),1,Doctorate,17791149,1421392,16369757
10,7501,A Thavamani,MADURAI,BSP,0,Illiterate,51000,0,51000
11,173,A Vijayaraghavan,KOZHIKODE,CPI(M),0,Graduate Professional,5757792,152305,5605487
12,397,A. Devadas,BELLARY,SUCI(C),0,10th Pass,1154658,0,1154658
13,6929,A. Irudayadass,CHENNAI SOUTH,IND,0,Graduate,551640,0,551640
14,6913,A. Jaiganesh,CHENNAI SOUTH,Lok Satta Party,0,Graduate,5855905,0,5855905
15,336,A. Josekutty,KOLLAM,IND,0,10th Pass,545117,224328,320789
16,6943,A. Magesh,CHENNAI SOUTH,IND,0,Graduate,6894841,66500,6828341
17,1850,A. P. Shamseer,VADAKARA,IND,0,Literate,55620,0,55620
18,117,A. Raghunath Varma,BERHAMPUR,IND,0,Post Graduate,270800,0,270800
19,4341,A. Shadhick Batcha,TIRUCHIRAPPALLI,IND,0,Post Graduate,752760,700000,52760
20,3955,A.Arunmozhithevan,CUDDALORE,AIADMK,9,Graduate Professional,15765250,0,15765250
21,4048,A.Baskar,CUDDALORE,IND,0,10th Pass,1100000,0,1100000
22,6284,A.Ganesan,ARANI,BSP,0,8th Pass,2110000,0,2110000
23,6356,A.Govindasamy,KALLAKURICHI,IND,0,8th Pass,1891000,300000,1591000
24,5202,A.Hamid Sh. Habib,DHULE,IND,3,8th Pass,63500,0,63500
25,993,A.K. Aggarwal,NORTH EAST DELHI,Agar Jan Party,1,10th Pass,14058166,0,14058166
26,5381,A.K. Mohan,DURG,AITC,0,10th Pass,290000,0,290000
27,6292,A.K.Moorthy,ARANI,Pattali Makkal Katchi,0,Post Graduate,55271210,17008423,38262787
28,2206,A.K.Parashurama Kotemallur,DAVANAGERE,BSP,0,12th Pass,215000,0,215000
29,6357,A.K.Perumal,KALLAKURICHI,JMM,0,Post Graduate,5302255,0,5302255
30,700,A.K.Salahudeen,KOLLAM,SDPI,1,12th Pass,6562365,0,6562365
31,4041,A.K.Sheikdavood,TIRUPPUR,IND,0,Graduate,0,0,0
32,7496,A.Kannan,MADURAI,IND,0,8th Pass,262590,0,262590
33,183,A.Krishnappa,TUMKUR,JD(S),0,Graduate,701833242,175031509,526801733
34,5583,A.M.H. Nazeem,PONDICHERRY,DMK,3,12th Pass,5930000,60000,5870000
35,1847,A.M.Smitha,VADAKARA,CPI(ML) Red star,0,Graduate,22000,0,22000
36,6300,A.Mahadevan,ARANI,IND,0,12th Pass,577000,0,577000
37,7434,A.Mogheeth Khan,TIRUPPUR,IND,0,Graduate,3253500,1475000,1778500
38,2612,A.P. Ahamad,HASSAN,BSP,0,Illiterate,1100000,500000,600000
39,7432,A.Ponnusamy,TIRUPPUR,IND,0,Literate,1581000,0,1581000
40,1222,A.R. Krishna Murthy,CHAMARAJANAGAR,BJP,0,Post Graduate,41281286,2886427,38394859
41,5470,A.Ramesh,VILUPPURAM,IND,0,10th Pass,350000,0,350000
42,2571,A.S.Dsilva,TUMKUR,AAP,0,Graduate,33229897,0,33229897
43,6358,A.Shajahan,KALLAKURICHI,IND,0,Graduate Professional,4402000,325000,4077000
44,1081,A.T. Dadakhalandar,DAVANAGERE,IND,0,10th Pass,36042,19623,16419
45,1951,A.V.Thamarakshan,ALAPPUZHA,Revolutionary Socialist Party of Kerala (B),1,Post Graduate,10641399,0,10641399
46,7503,"Aaron Rashid, J.M.",THENI,INC,0,12th Pass,649632943,8318576,641314367
47,2818,Aasutosh Verma,GIRIDIH,AITC,0,Graduate Professional,384828136,46546450,338281686
48,7267,Aayar Muljibhai Khanabhai,AHMEDABAD WEST,IND,0,10th Pass,430286,0,430286
49,5949,Abbas Hussain Shaikh,MUMBAI SOUTH CENTRAL,SP,3,10th Pass,7967355,258960,7708395
50,250,Abbas Mothalappara,KASARAGOD,AITC,0,10th Pass,102000,0,102000
51,4693,Abdul Ahad Mir,ANANTNAG,IND,0,12th Pass,17950000,0,17950000
52,983,Abdul Amir Amiro,CHANDNI CHOWK,IND,0,5th Pass,4122551,0,4122551
53,2630,Abdul Azeem,BANGALORE NORTH,JD(S),0,Post Graduate,158909760,0,158909760
54,3451,Abdul Aziz,NAGAUR,BSP,0,Graduate,2400000,0,2400000
55,2386,Abdul Aziz Bhartiya,JAIPUR,Rashtriya Ulama Council,0,Graduate,67000,0,67000
56,6238,Abdul Bari Siddiqui,MADHUBANI,RJD,3,12th Pass,16343817,2718221,13625596
57,5929,Abdul Basit Ibrahim Faith,MUMBAI SOUTH,IND,0,Graduate,888656,0,888656
58,6471,Abdul Gani,NIZAMABAD,B. C. United Front,2,Graduate,3633263,705948,2927315
59,212,Abdul Hafeez Abdul Aziz,BULDHANA,BSP,0,12th Pass,425000,225000,200000
60,360,Abdul Hameed,BIDAR,Welfare Party of India,0,Post Graduate,15287118,0,15287118
61,258,Abdul Jabbar K K,KANNUR,SDPI,4,10th Pass,3403545,0,3403545
