ST_NAME,AC_NAME,LAT,LONG
Andhra Pradesh,ACHAMPET,16.630373,80.1219215
Andhra Pradesh,ACHANTA,16.6020356,81.8076934
Andhra Pradesh,ADDANKI,15.80382,79.970428
Andhra Pradesh,ADILABAD,19.6667,78.5333
Andhra Pradesh,ADONI,15.624255,77.272586
Andhra Pradesh,ALAIR,17.64624,79.04624
Andhra Pradesh,ALAMPUR,15.8929664,78.0693042
Andhra Pradesh,ALAMURU,16.788931,81.8894119
Andhra Pradesh,ALLAGADDA,15.126699,78.508154
Andhra Pradesh,ALLAVARAM,16.517071,81.988491
Andhra Pradesh,ALLUR,14.688808,80.054171
Andhra Pradesh,AMADALAVALASA,18.41107,83.9070969
Andhra Pradesh,AMALAPURAM,17.664521,82.615507
Andhra Pradesh,AMARCHINTA,16.374712,77.772386
Andhra Pradesh,AMBERPET,17.391354,78.506462
Andhra Pradesh,AMMANABROLU,15.576129,80.148442
Andhra Pradesh,ANAKAPALLE,17.6947,83.0124
Andhra Pradesh,ANANTAPUR,14.6707094,77.5907443
Andhra Pradesh,ANANTAPUR URBAN,14.6707094,77.5907443
Andhra Pradesh,ANAPARTHI,16.9346502,81.9551186
Andhra Pradesh,ANDOLE,17.82755,78.095
Andhra Pradesh,ARAKU VALLEY,18.3333,82.8667
Andhra Pradesh,ARMUR,18.7894581,78.2892742
Andhra Pradesh,ASAFNAGAR,17.38664,78.45103
Andhra Pradesh,ASIFABAD,19.365021,79.293083
Andhra Pradesh,ASWARAOPETA,17.3406493,81.1205001
Andhra Pradesh,ATMAKUR,18.0669297,79.7361876
Andhra Pradesh,ATTILI,16.695256,81.59781
Andhra Pradesh,AVANIGADDA,16.0214271,80.915944
Andhra Pradesh,BADVEL,14.73757,79.063179
Andhra Pradesh,BAHDURPURA,17.35734,78.46027
Andhra Pradesh,BALIJIPETA,18.6105162,83.4484255
Andhra Pradesh,BALKONDA,18.872189,78.33793
Andhra Pradesh,BANAGANAPALLE,15.31037,78.223846
Andhra Pradesh,BANGARIPOLIEM,12.70286,78.3738
Andhra Pradesh,BANSWADA,18.3818488,77.8758114
Andhra Pradesh,BAPATLA,15.906499,80.471664
Andhra Pradesh,BEGUM BAZAR,17.37504,78.4705
Andhra Pradesh,BELLAMPALLY,19.07155,79.49117
Andhra Pradesh,BHADRACHALAM,17.6687912,80.8935925
