STATE,PC,Lat,Long
GUJARAT,MANDVI,22.83317,69.346367
GUJARAT,PORBANDAR,21.6417069,69.6292654
KUTCH,KUTCH EAST,23.1498405,69.7046685
KUTCH,KUTCH WEST,23.1498405,69.7046685
GUJARAT,KACHCHH,23.7337326,69.8597406
GUJARAT,KUTCH,23.7337326,69.8597406
GUJARAT,JAMNAGAR,22.4707019,70.05773
SAURASHTRA,SORATH,21.4689816,70.3702909
GUJARAT,JUNAGADH,21.522184,70.4578768
GUJARAT,RAJKOT,22.3038945,70.8021599
SAURASHTRA,MADHYA SAURASHTRA,22.3038945,70.8021599
GUJARAT,AMRELI,21.602871,71.21817
RAJASTHAN,BARMER JALORE,24.729067,71.3641338
RAJASTHAN,BARMER,25.75,71.3833
GUJARAT,SURENDRANAGAR,22.7288036,71.6258023
MYSORE,KANARA,22.3522037,71.7311079
GUJARAT,DHANDHUKA,22.381099,71.98294
GUJARAT,PATAN,23.850809,72.114838
GUJARAT,BHAVNAGAR,21.7644725,72.1519304
SAURASHTRA,GOHILWAD,21.7644725,72.1519304
SAURASHTRA,GOHILWAD SORATH,21.7644725,72.1519304
GUJARAT,BANASKANTHA,24.3070289,72.3514618
GUJARAT,MAHESANA,23.5879607,72.3693252
GUJARAT,MEHSANA,23.5879607,72.3693252
GUJARAT,SABARMATI,22.4009093,72.372549
SAURASHTRA,ZALAWAD,23.0010292,72.5570476
GUJARAT,AHMEDABAD,23.0395677,72.5660045
GUJARAT,AHMEDABAD EAST,23.0395677,72.5660045
GUJARAT,AHMEDABAD WEST,23.0395677,72.5660045
RAJASTHAN,JALORE,25.34399,72.615753
GUJARAT,GANDHINAGAR,23.2248196,72.6463769
MAHARASHTRA,DAHANU,19.957793,72.7456739
GUJARAT,KAIRA,19.7897227,72.7599575
MAHARASHTRA,PALGHAR,19.7019886,72.7747325
BOMBAY,RAMTEK,18.9531044,72.7951079
BOMBAY,KOLABA,18.9037004,72.8131432
BOMBAY,MIRAJ,19.2003443,72.8175684
MAHARASHTRA,BOMBAY CENTRAL,18.9707147,72.8194213
GUJARAT,SURAT,21.195,72.819444
BOMBAY,PATAN,18.9948321,72.8198137
