STATE,PC,ST_CODE,PC_CODE,KEY,PC_NAME,ST_ABBR,ST_NAME,2014-Schedule,2014-Star-Candidate,2014-Star-Candidate-Name,Hindi-speaking,Bi-polar,Rural,SC,ST,Muslim,2009-pc-turnout,2009-Turnout,2009-Party,2009-Margin,2014-pc-turnout,2014-Turnout,2014-Nota
ASSAM,DIBRUGARH,S03,13,S03-13,DIBRUGARH,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,,67.29%,60-70%,CONG,2-5%,72.56%,70-80%,1-2%
ASSAM,JORHAT,S03,12,S03-12,JORHAT,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,10-20%,64.58%,60-70%,CONG,5-10%,75.68%,70-80%,1-2%
ASSAM,KALIABOR,S03,11,S03-11,KALIABOR,AS,ASSAM,07-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,20-40%,71.24%,70-80%,CONG,10-20%,75.94%,70-80%,1-2%
ASSAM,LAKHIMPUR,S03,14,S03-14,LAKHIMPUR,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,10-30%,< 10%,68.35%,60-70%,CONG,2-5%,72.76%,70-80%,1-2%
ASSAM,TEZPUR,S03,9,S03-9,TEZPUR,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,69.67%,60-70%,AGP,2-5%,74.60%,70-80%,1-2%
TRIPURA,TRIPURA WEST,S23,1,S23-1,TRIPURA WEST,TR,TRIPURA,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,85.71%,80%+,CPM,20%+,85%,80%+,1-2%
ARUNACHAL PRADESH,ARUNACHAL EAST,S02,2,S02-2,ARUNACHAL EAST,AR,ARUNACHAL PRADESH,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,71.36%,70-80%,CONG,20%+,No Information,,1-2%
ARUNACHAL PRADESH,ARUNACHAL WEST,S02,1,S02-1,ARUNACHAL WEST,AR,ARUNACHAL PRADESH,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,65.93%,60-70%,CONG,< 2%,No Information,,0.5-1%
MANIPUR,OUTER MANIPUR,S14,2,S14-2,OUTER MANIPUR,MN,MANIPUR,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,83.14%,80%+,CONG,10-20%,82.14%,80%+,< 0.5%
MEGHALAYA,SHILLONG,S15,1,S15-1,SHILLONG,ML,MEGHALAYA,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,62.23%,60-70%,CONG,20%+,63.58%,60-70%,1-2%
MEGHALAYA,TURA,S15,2,S15-2,TURA,ML,MEGHALAYA,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,< 10%,67.66%,60-70%,NCP,5-10%,78.13%,70-80%,2-5%
NAGALAND,NAGALAND,S17,1,S17-1,NAGALAND,NL,NAGALAND,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,89.99%,80%+,NPF,20%+,88.57%,80%+,< 0.5%
