STATE,PARTY,GROUP
ANDHRA PRADESH,CONG,CONG
ANDHRA PRADESH,BJP,BJP+
ANDHRA PRADESH,TDP,BJP+
ANDHRA PRADESH,TRS,TRS
ANDHRA PRADESH,YSRC,YSRC
ASSAM,CONG,CONG+
ASSAM,BPF,CONG+
ASSAM,BJP,BJP
ASSAM,AGP,AGP
ASSAM,AUDF,AUDF
BIHAR,CONG,CONG+
BIHAR,RJD,CONG+
BIHAR,NCP,CONG+
BIHAR,BJP,BJP+
BIHAR,LJP,BJP+
BIHAR,RLSP,BJP+
BIHAR,JDU,JDU
CHHATTISGARH,CONG,CONG
CHHATTISGARH,BJP,BJP
GUJARAT,CONG,CONG
GUJARAT,BJP,BJP
GUJARAT,AAP,AAP
HARYANA,CONG,CONG
HARYANA,BJP,BJP+
HARYANA,HJC,BJP+
HARYANA,INLD,INLD
HARYANA,AAP,AAP
JHARKHAND,CONG,CONG+
JHARKHAND,JMM,CONG+
JHARKHAND,RJD,CONG+
JHARKHAND,BJP,BJP
JHARKHAND,JVM,JVM
KARNATAKA,CONG,CONG
KARNATAKA,BJP,BJP
KARNATAKA,JDS,JDS
KARNATAKA,AAP,AAP
KERALA,CONG,UDF
KERALA,IUML,UDF
KERALA,KCM,UDF
KERALA,RSP,UDF
KERALA,SJD,UDF
KERALA,BJP,BJP
KERALA,CPM,LEFT
KERALA,CPI,LEFT
KERALA,AIFB,LEFT
KERALA,RSP,LEFT
KERALA,AAP,AAP
MADHYA PRADESH,CONG,CONG
MADHYA PRADESH,BJP,BJP
MADHYA PRADESH,BSP,BSP
MADHYA PRADESH,AAP,AAP
MAHARASHTRA,CONG,CONG+
MAHARASHTRA,NCP,CONG+
MAHARASHTRA,BVA,CONG+
MAHARASHTRA,BJP,BJP+
MAHARASHTRA,SS,BJP+
MAHARASHTRA,RHSP,BJP+
MAHARASHTRA,SWP,BJP+
MAHARASHTRA,RPI(A),BJP+
MAHARASHTRA,MNS,MNS
MAHARASHTRA,AAP,AAP
NCT OF DELHI,CONG,CONG
NCT OF DELHI,BJP,BJP
NCT OF DELHI,BSP,BSP
NCT OF DELHI,AAP,AAP
ORISSA,CONG,CONG
ORISSA,BJP,BJP
ORISSA,BJD,BJD
PUNJAB,CONG,CONG
PUNJAB,BJP,BJP+
PUNJAB,SAD,BJP+
PUNJAB,AAP,AAP
RAJASTHAN,CONG,CONG
RAJASTHAN,BJP,BJP
RAJASTHAN,BSP,BSP
RAJASTHAN,AAP,AAP
TAMIL NADU,CONG,CONG
TAMIL NADU,BJP,BJP+
TAMIL NADU,DMDK,BJP+
TAMIL NADU,MDMK,BJP+
TAMIL NADU,PMK,BJP+
TAMIL NADU,DMK,DMK
TAMIL NADU,ADMK,ADMK
UTTAR PRADESH,CONG,CONG+
UTTAR PRADESH,RLD,CONG+
UTTAR PRADESH,MD,CONG+
UTTAR PRADESH,BJP,BJP+
UTTAR PRADESH,AD,BJP+
UTTAR PRADESH,SP,SP
UTTAR PRADESH,BSP,BSP
UTTAR PRADESH,AAP,AAP
WEST BENGAL,CONG,CONG
WEST BENGAL,BJP,BJP
WEST BENGAL,TMC,TMC
WEST BENGAL,CPI,LEFT
WEST BENGAL,CPM,LEFT
WEST BENGAL,AIFB,LEFT
WEST BENGAL,RSP,LEFT
ALL INDIA,BJP,NDA
ALL INDIA,TDP,NDA
ALL INDIA,SS,NDA
ALL INDIA,LJP,NDA
ALL INDIA,HJC,NDA
ALL INDIA,RLSP,NDA
ALL INDIA,RSP(B),NDA
ALL INDIA,RPI(A),NDA
ALL INDIA,RHSP,NDA
ALL INDIA,SWP,NDA
ALL INDIA,NPP,NDA
ALL INDIA,NPF,NDA
ALL INDIA,SAD,NDA
ALL INDIA,DMDK,NDA
ALL INDIA,MDMK,NDA
ALL INDIA,PMK,NDA
ALL INDIA,AD,NDA
ALL INDIA,CONG,UPA
ALL INDIA,RJD,UPA
ALL INDIA,NCP,UPA
ALL INDIA,NC,UPA
ALL INDIA,IUML,UPA
ALL INDIA,KCM,UPA
ALL INDIA,SJD,UPA
ALL INDIA,BVA,UPA
ALL INDIA,JMM,UPA
ALL INDIA,MD,UPA
ALL INDIA,RLD,UPA
ALL INDIA,BPF,UPA
