YEAR,STATE,PARTY,VOTESHARE
2014,ANDHRA PRADESH,BJP+,
2014,ANDHRA PRADESH,CONG,
2014,ANDHRA PRADESH,TRS,
2014,ANDHRA PRADESH,YSRC,
2014,ASSAM,CONG+,0.4
2014,ASSAM,BJP,0.22
2014,ASSAM,OTH,0.14
2014,ASSAM,AGP,0.13
2014,ASSAM,AUDF,0.11
2014,BIHAR,BJP+,0.43
2014,BIHAR,CONG+,0.29
2014,BIHAR,JDU,0.15
2014,CHHATTISGARH,BJP,0.51
2014,CHHATTISGARH,CONG,0.31
2014,GUJARAT,BJP,0.53
2014,GUJARAT,CONG,0.35
2014,GUJARAT,OTH,0.12
2014,HARYANA,AAP,0.04
2014,HARYANA,BJP+,0.38
2014,HARYANA,CONG,0.24
2014,HARYANA,INLD,0.2
2014,JHARKHAND,BJP,0.44
2014,JHARKHAND,CONG+,0.21
2014,JHARKHAND,JVM,0.11
2014,KARNATAKA,AAP,NA
2014,KARNATAKA,BJP,0.38
2014,KARNATAKA,CONG,0.43
2014,KARNATAKA,JDS,0.14
2014,KERALA,AAP,0.03
2014,KERALA,BJP,0.1
2014,KERALA,LEFT,0.4
2014,KERALA,UDF,0.45
2014,MADHYA PRADESH,AAP,0.03
2014,MADHYA PRADESH,BJP,0.5
2014,MADHYA PRADESH,BSP,0.05
2014,MADHYA PRADESH,CONG,0.34
2014,MAHARASHTRA,BJP+,0.44
2014,MAHARASHTRA,CONG+,0.34
2014,MAHARASHTRA,Others,0.16
2014,MAHARASHTRA,AAP,0.032
2014,MAHARASHTRA,MNS,0.028
2014,NCT OF DELHI,AAP,0.31
2014,NCT OF DELHI,BJP,0.45
2014,NCT OF DELHI,BSP,NA
2014,NCT OF DELHI,CONG,0.17
2014,ORISSA,BJD,0.37
2014,ORISSA,BJP,0.29
2014,ORISSA,CONG,0.24
2014,PUNJAB,AAP,0.21
2014,PUNJAB,BJP+,0.4
2014,PUNJAB,CONG,0.29
2014,RAJASTHAN,AAP,NA
2014,RAJASTHAN,BJP,0.5
2014,RAJASTHAN,BSP,0.04
2014,RAJASTHAN,CONG,0.34
2014,TAMIL NADU,ADMK,0.39
2014,TAMIL NADU,BJP+,0.16
2014,TAMIL NADU,CONG,0.09
2014,TAMIL NADU,DMK,0.26
2014,UTTAR PRADESH,AAP,NA
2014,UTTAR PRADESH,BJP+,0.4
2014,UTTAR PRADESH,BSP,0.21
2014,UTTAR PRADESH,CONG+,0.1
2014,UTTAR PRADESH,SP,0.24
2014,WEST BENGAL,CONG,0.13
2014,WEST BENGAL,BJP,0.15
2014,WEST BENGAL,LEFT,0.24
2014,WEST BENGAL,TMC,0.38
2009,A&N ISLANDS,BJP,0.44
2009,A&N ISLANDS,CONG,0.42
2009,A&N ISLANDS,CPM,0.04
2009,A&N ISLANDS,NCP,0.03
2009,A&N ISLANDS,RJD,0.03
2009,A&N ISLANDS,IND,0.02
2009,A&N ISLANDS,JDP,0.01
2009,ANDHRA PRADESH,CONG,0.39
